,TIMESTAMP,ITEM_COUNT,USER_LAT,USER_LONG,VENUE_LAT,VENUE_LONG,ESTIMATED_DELIVERY_MINUTES,ACTUAL_DELIVERY_MINUTES,CLOUD_COVERAGE,TEMPERATURE,WIND_SPEED,PRECIPITATION,BIN_NUMBER,MONTH,DAY_NUMBER,WEEK_DAY,DELIVERY_LENGTH,AVG_TRAFFIC_SPEED
0,2020-08-01 06:07:00.000,1,60.158,24.946,60.16,24.946,29,10,0.0,15.0,3.53644,0.0,73,8,214,5,0,72.23076923076923
1,2020-08-01 06:17:00.000,8,60.163,24.927,60.153,24.91,39,32,0.0,15.0,3.53644,0.0,75,8,214,5,0,65.6774193548387
2,2020-08-01 06:54:00.000,4,60.161,24.937,60.162,24.939,23,6,0.0,15.0,3.53644,0.0,82,8,214,5,0,66.35483870967742
3,2020-08-01 07:09:00.000,3,60.185,24.954,60.19,24.911,28,26,0.0,16.7,3.52267,0.0,85,8,214,5,0,67.06666666666666
4,2020-08-01 07:10:00.000,2,60.182,24.955,60.178,24.949,27,26,0.0,16.7,3.52267,0.0,86,8,214,5,0,79.86486486486487
5,2020-08-01 07:20:00.000,2,60.173,24.953,60.178,24.949,18,15,0.0,16.7,3.52267,0.0,88,8,214,5,0,79.875
6,2020-08-01 07:33:00.000,2,60.188,24.956,60.178,24.949,24,35,0.0,16.7,3.52267,0.0,90,8,214,5,0,79.89583333333333
7,2020-08-01 07:44:00.000,2,60.199,24.957,60.198,24.932,31,32,0.0,16.7,3.52267,0.0,92,8,214,5,0,63.92857142857143
8,2020-08-01 07:59:00.000,1,60.182,24.955,60.178,24.949,24,24,0.0,16.7,3.52267,0.0,95,8,214,5,0,80.1
9,2020-08-01 08:06:00.000,4,60.189,24.964,60.165,24.929,36,42,25.0,17.8,3.35088,0.0,97,8,214,5,0,63.06976744186046
10,2020-08-01 08:10:00.000,1,60.154,24.949,60.168,24.938,37,41,25.0,17.8,3.35088,0.0,98,8,214,5,0,63.53191489361702
11,2020-08-01 08:10:00.000,3,60.196,24.922,60.198,24.929,32,26,25.0,17.8,3.35088,0.0,98,8,214,5,0,63.53191489361702
12,2020-08-01 08:12:00.000,3,60.178,24.924,60.168,24.93,27,16,25.0,17.8,3.35088,0.0,98,8,214,5,0,63.53191489361702
13,2020-08-01 08:20:00.000,7,60.186,24.922,60.178,24.925,25,35,25.0,17.8,3.35088,0.0,100,8,214,5,0,63.8936170212766
14,2020-08-01 08:20:00.000,2,60.183,24.923,60.18,24.927,27,27,25.0,17.8,3.35088,0.0,100,8,214,5,0,63.8936170212766
