,Unnamed: 0,TIMESTAMP,ITEM_COUNT,USER_LAT,USER_LONG,VENUE_LAT,VENUE_LONG,ESTIMATED_DELIVERY_MINUTES,ACTUAL_DELIVERY_MINUTES,CLOUD_COVERAGE,TEMPERATURE,WIND_SPEED,PRECIPITATION,BIN_NUMBER,MONTH,DAY_NUMBER,WEEK_DAY,DELIVERY_LENGTH,AVG_TRAFFIC_SPEED
0,0,2020-08-01 06:07:00.000,1,60.158,24.946,60.16,24.946,29,10,0.0,15.0,3.53644,0.0,73,8,214,5,0.0,72.23076923076923
1,1,2020-08-01 06:17:00.000,8,60.163,24.927,60.153,24.91,39,32,0.0,15.0,3.53644,0.0,75,8,214,5,155.72,65.6774193548387
2,2,2020-08-01 06:54:00.000,4,60.161,24.937,60.162,24.939,23,6,0.0,15.0,3.53644,0.0,82,8,214,5,281.44300000000004,66.35483870967742
3,3,2020-08-01 07:09:00.000,3,60.185,24.954,60.19,24.911,28,26,0.0,16.7,3.52267,0.0,85,8,214,5,2752.7760000000007,67.06666666666666
4,4,2020-08-01 07:10:00.000,2,60.182,24.955,60.178,24.949,27,26,0.0,16.7,3.52267,0.0,86,8,214,5,710.3570000000001,79.86486486486487
5,5,2020-08-01 07:20:00.000,2,60.173,24.953,60.178,24.949,18,15,0.0,16.7,3.52267,0.0,88,8,214,5,929.8950000000002,79.875
6,6,2020-08-01 07:33:00.000,2,60.188,24.956,60.178,24.949,24,35,0.0,16.7,3.52267,0.0,90,8,214,5,710.3570000000001,79.89583333333333
7,7,2020-08-01 07:44:00.000,2,60.199,24.957,60.198,24.932,31,32,0.0,16.7,3.52267,0.0,92,8,214,5,2635.5240000000017,63.92857142857143
8,8,2020-08-01 07:59:00.000,1,60.182,24.955,60.178,24.949,24,24,0.0,16.7,3.52267,0.0,95,8,214,5,710.3570000000001,80.1
9,9,2020-08-01 08:06:00.000,4,60.189,24.964,60.165,24.929,36,42,25.0,17.8,3.35088,0.0,97,8,214,5,2118.581,63.06976744186046
10,10,2020-08-01 08:10:00.000,1,60.154,24.949,60.168,24.938,37,41,25.0,17.8,3.35088,0.0,98,8,214,5,1046.952,63.53191489361702
11,11,2020-08-01 08:10:00.000,3,60.196,24.922,60.198,24.929,32,26,25.0,17.8,3.35088,0.0,98,8,214,5,117.252,63.53191489361702
12,12,2020-08-01 08:12:00.000,3,60.178,24.924,60.168,24.93,27,16,25.0,17.8,3.35088,0.0,98,8,214,5,1500.889,63.53191489361702
13,13,2020-08-01 08:20:00.000,7,60.186,24.922,60.178,24.925,25,35,25.0,17.8,3.35088,0.0,100,8,214,5,245.973,63.8936170212766
14,14,2020-08-01 08:20:00.000,2,60.183,24.923,60.18,24.927,27,27,25.0,17.8,3.35088,0.0,100,8,214,5,230.121,63.8936170212766
15,15,2020-08-01 08:24:00.000,3,60.177,24.928,60.168,24.939,35,28,25.0,17.8,3.35088,0.0,100,8,214,5,1402.6760000000002,63.8936170212766
16,16,2020-08-01 08:25:00.000,1,60.183,24.963,60.194,24.956,23,20,25.0,17.8,3.35088,0.0,101,8,214,5,128.478,81.38297872340425
17,17,2020-08-01 08:26:00.000,6,60.162,24.937,60.16,24.946,22,22,25.0,17.8,3.35088,0.0,101,8,214,5,712.1020000000001,70.12068965517241
18,18,2020-08-01 08:33:00.000,9,60.159,24.939,60.169,24.938,31,37,25.0,17.8,3.35088,0.0,102,8,214,5,641.374,65.19148936170212
19,19,2020-08-01 08:33:00.000,3,60.186,24.918,60.189,24.917,20,19,25.0,17.8,3.35088,0.0,102,8,214,5,0.0,65.19148936170212
20,20,2020-08-01 08:39:00.000,3,60.189,24.914,60.19,24.911,26,22,25.0,17.8,3.35088,0.0,103,8,214,5,0.0,66.0754716981132
21,21,2020-08-01 08:40:00.000,2,60.187,24.959,60.178,24.949,28,42,25.0,17.8,3.35088,0.0,104,8,214,5,710.3570000000001,81.51666666666667
22,22,2020-08-01 08:42:00.000,4,60.181,24.954,60.178,24.949,26,22,25.0,17.8,3.35088,0.0,104,8,214,5,710.3570000000001,81.51666666666667
23,23,2020-08-01 08:58:00.000,4,60.168,24.934,60.169,24.933,32,25,25.0,17.8,3.35088,0.0,107,8,214,5,368.31500000000005,65.70689655172414
24,24,2020-08-01 09:04:00.000,1,60.173,24.922,60.19,24.911,31,32,0.0,17.8,3.29756,0.0,108,8,214,5,947.592,64.54545454545455
25,25,2020-08-01 09:06:00.000,1,60.159,24.913,60.163,24.929,25,26,0.0,17.8,3.29756,0.0,109,8,214,5,0.0,64.93181818181819
26,26,2020-08-01 09:08:00.000,1,60.189,24.963,60.194,24.95,30,29,0.0,17.8,3.29756,0.0,109,8,214,5,234.426,79.45833333333333
27,27,2020-08-01 09:09:00.000,4,60.183,24.919,60.173,24.923,34,32,0.0,17.8,3.29756,0.0,109,8,214,5,808.0490000000001,64.93181818181819
28,28,2020-08-01 09:09:00.000,1,60.171,24.955,60.185,24.953,23,33,0.0,17.8,3.29756,0.0,109,8,214,5,1149.5980000000002,79.45833333333333
29,29,2020-08-01 09:11:00.000,1,60.165,24.928,60.168,24.938,28,24,0.0,17.8,3.29756,0.0,110,8,214,5,437.2330000000001,65.32727272727273
30,30,2020-08-01 09:14:00.000,1,60.183,24.962,60.195,24.951,28,27,0.0,17.8,3.29756,0.0,110,8,214,5,234.426,80.28985507246377
31,31,2020-08-01 09:15:00.000,1,60.185,24.916,60.171,24.919,30,39,0.0,17.8,3.29756,0.0,111,8,214,5,1143.2370000000003,62.82432432432432
32,32,2020-08-01 09:17:00.000,1,60.184,24.954,60.187,24.977,32,32,0.0,17.8,3.29756,0.0,111,8,214,5,128.478,72.01282051282051
33,33,2020-08-01 09:19:00.000,1,60.176,24.923,60.168,24.938,28,30,0.0,17.8,3.29756,0.0,111,8,214,5,1176.003,62.82432432432432
34,34,2020-08-01 09:21:00.000,5,60.168,24.964,60.168,24.976,32,42,0.0,17.8,3.29756,0.0,112,8,214,5,0.0,71.2072072072072
35,35,2020-08-01 09:22:00.000,1,60.16,24.951,60.163,24.945,24,23,0.0,17.8,3.29756,0.0,112,8,214,5,383.69,71.2072072072072
36,36,2020-08-01 09:26:00.000,1,60.155,24.915,60.167,24.938,37,36,0.0,17.8,3.29756,0.0,113,8,214,5,492.573,64.21126760563381
37,37,2020-08-01 09:28:00.000,1,60.187,24.955,60.198,24.93,38,22,0.0,17.8,3.29756,0.0,113,8,214,5,2635.5240000000017,64.21126760563381
38,38,2020-08-01 09:34:00.000,1,60.185,24.912,60.169,24.93,37,22,0.0,17.8,3.29756,0.0,114,8,214,5,1491.7189999999996,63.3125
